tag,content,counts,link_next,link_prev,label
html body text div div h1 a  ,bjreader的博客,10,1,0,0
html body text div div a  ,孩子，夏令营让你得到了什么？,15,1,1,0
html body text div div  ,- -| 		,16,1,1,0
html body text div div a  ,回首页,18,1,1,0
html body text div div  ,|,19,1,1,0
html body text div div a  ,2005年索引,21,1,1,0
html body text div div  ,	| - -,22,1,1,0
html body text div div a  ,浴室都安全吗?,24,1,1,0
html body text div div h2  ,谁来为无序拆房“埋单”？- -,29,1,1,0
html body text div div  ,				 				 				,30,1,1,0
html body text div div p span  ,拆房屡出命案 管理形同虚设,34,1,1,1
html body text div div p b span  ,谁来为无序拆房“埋单”？,40,1,1,1
html body text div div p span  ,本报实习生,46,1,1,1
html body text div div p span  ,刘国栋 周炜,51,1,1,1
html body text div div p span  ,本报记者,55,1,1,1
html body text div div p span  ,王燕平 方云凤 柏建斌,60,1,1,1
html body text div div p span span  ,2003-7-24 钱江晚报,64,1,1,0
html body text div div p b span  ,编者按,70,1,1,1
html body text div div p span  ,为拆一幢房，断送了三条人命。前天的这场惨剧发生得实在太突然，太震惊了。,75,1,1,1
html body text div div p span  ,三条人命啊，就这样从我们眼前骤然消失。随之毁去的，还有他们的家庭，白发父母失去了儿子，贤惠妻子失去了丈夫，幼稚孩儿失去了父亲。,82,1,1,1
html body text div div p span  ,翻翻今年的报纸，我们已太多次目睹类似的事件。这些或死亡或受伤的大多是外地人，对安全常识，他们或许懂得不多，但我们的拆房队、建筑单位应该是懂的，应该是知道起码的操作规范的。,88,1,1,1
html body text div div p span  ,采访中，我们发现，一项建筑工程往往要经过层层转包，最后就落在了外地民工身上。安全意识的淡漠和违规操作，才是拆房工地事故频发的软肋所在。,94,1,1,1
html body text div div p span  ,生命是可贵的，生命同样是脆弱的，每个人的生命只有一次。人命关天的事，岂可马虎视之？,100,1,1,1
html body text div div p b span  ,本报讯,109,1,1,1
html body text div div p span  ,经过有关部门的调查，现初步查明，承包杭州佑昌照明电器有限公司厂房拆迁的杭州新城建筑工程队，根本没有拆房资质，更不要说挂靠工程队的吴老板了。（,111,1,1,1
html body text div div p span  ,见本报昨天,113,1,1,1
html body text div div p span span  ,6版相关报道,115,1,1,1
html body text div div p span  ,）,117,1,1,1
html body text div div p span  ,逝去的生命已无法追回，然而，城市拆迁的现状却更让人担忧。昨天下午，记者走访了几个工地。在红石板社区拆房工地，,126,1,1,1
html body text div div p span font  ,4,129,1,1,1
html body text div div p span  ,幢居民楼已被拆得七零八落。记者注意到，这些楼房里还住着十多户人家！抬头往上看，顶楼上有,131,1,1,1
html body text div div p span font  ,10,134,1,1,1
html body text div div p span  ,多位民工正在作业，但只有一人戴着安全帽。一名民工用铁锹铲着废土和小石块从顶楼抛下来。这时，一个两岁左右的小孩出现在一楼家门口，靠着水龙头玩起了水。二楼窗口，一位老太太不时推开窗户向外瞅一瞅。记者围着工地转了两圈，发现这里既没有安全防范设施，也没有任何警示标志。其他工地的情况大致相同。,136,1,1,1
html body text div div p span  ,杭州市建委有关人士介绍，任何建筑施工单位都要有相应的施工资质，不能擅自转包或分包，拆房单位同样要具备一定资质。杭州市建筑质量和安全总站一位负责人说，建筑施工队伍的资质是由他们负责的，而拆房队的资质必须由房管部门审定、登记，经批准后才能从事拆房。,145,1,1,1
html body text div div p span  ,而房管部门的答复是，拆房队资质的审批是他们把关的，但他们只管城镇国有土地房屋的折迁工作，像杭州佑昌照明电器公司厂房的拆迁，就不由他们管了。,154,1,1,1
html body text div div p span  ,而事实上，虽然目前杭城房屋的拆迁量非常大，但因为活累钱少，许多建筑施工队都不愿做，经常是承包后再分包给小的施工单位，拆房的民工基本上是马路边临时招来的，不但没有相应的上岗证，有的甚至连基本经验都没有，安全措施更不要说了。结果造成目前杭城的拆房工作大部分是由无资质的拆房“游击队”在进行。,163,1,1,1
html body text div div p span  ,杭州市安全生产监督管理局一位负责人认为，造成这么多的拆房安全事故，最根本的原因就是一些单位安全意识淡薄，违规违章操作占了多数。,172,1,1,1
html body text div div p span  ,人命关天。难道我们还要继续用一个个鲜活的生命，为无序拆房“埋单”吗？,181,1,1,1
html body text div div p b span  ,附件,187,1,1,1
html body text div div p span  ,今年,195,1,1,1
html body text div div p span font  ,1,198,1,1,1
html body text div div p span  ,月至,200,1,1,1
html body text div div p span font  ,5,203,1,1,1
html body text div div p span  ,月，杭州工矿企业共发生各类事故,205,1,1,1
html body text div div p span font  ,59,208,1,1,1
html body text div div p span  ,起，死亡,210,1,1,1
html body text div div p span font  ,73,213,1,1,1
html body text div div p span  ,人，受伤,215,1,1,1
html body text div div p span font  ,24,218,1,1,1
html body text div div p span  ,人，直接经济损失,220,1,1,1
html body text div div p span font  ,1570,223,1,1,1
html body text div div p span  ,万元，同比事故次数上升,225,1,1,1
html body text div div p span font  ,68,228,1,1,1
html body text div div p span  ,％，死亡人数上升,230,1,1,1
html body text div div p span font  ,97,233,1,1,1
html body text div div p span  ,％，受伤人数上升,235,1,1,1
html body text div div p span font  ,380,238,1,1,1
html body text div div p span  ,％，直接经济损失上升,240,1,1,1
html body text div div p span font  ,202,243,1,1,1
html body text div div p span  ,％。其中,245,1,1,1
html body text div div p span font  ,5,248,1,1,1
html body text div div p span  ,月份就发生工矿企业事故,250,1,1,1
html body text div div p span font  ,18,253,1,1,1
html body text div div p span  ,起，死亡,255,1,1,1
html body text div div p span font  ,22,258,1,1,1
html body text div div p span  ,人。,260,1,1,1
html body text div div p span  ,例一：,269,1,1,1
html body text div div p span font  ,2,272,1,1,1
html body text div div p span  ,月,274,1,1,1
html body text div div p span font  ,2,277,1,1,1
html body text div div p span  ,日中午,279,1,1,1
html body text div div p span font  ,11,282,1,1,1
html body text div div p span  ,时,284,1,1,1
html body text div div p span font  ,50,287,1,1,1
html body text div div p span  ,分左右，杭州祥符桥渡驾桥村四组一幢废弃的三层楼房突然倒塌，数名拾荒者被压，两人死亡。,289,1,1,1
html body text div div p span  ,例二：,298,1,1,1
html body text div div p span font  ,4,301,1,1,1
html body text div div p span  ,月,303,1,1,1
html body text div div p span font  ,1,306,1,1,1
html body text div div p span  ,日中午，杭州小河路,308,1,1,1
html body text div div p span font  ,37,311,1,1,1
html body text div div p span  ,号杭州轻工机械厂的废旧厂房内，发生了一起私自拆墙引起的厂房倒塌事故，一名正在拆墙的安徽拾荒者被埋在废墟里。经过消防官兵近两个小时的紧张营救，到,313,1,1,1
html body text div div p span font  ,13,316,1,1,1
html body text div div p span  ,时,318,1,1,1
html body text div div p span font  ,23,321,1,1,1
html body text div div p span  ,分获救。,323,1,1,1
html body text div div p span  ,例三：,332,1,1,1
html body text div div p span font  ,4,335,1,1,1
html body text div div p span  ,月,337,1,1,1
html body text div div p span font  ,15,340,1,1,1
html body text div div p span  ,日上午，杭州城北永丰村发生一起因拾荒者私自拆墙引起的坍楼事故，一名安徽拾荒者被压身亡。,342,1,1,1
html body text div div p  ,- 作者：,347,1,1,0
html body text div div p a  ,流泉,349,1,1,0
html body text div div p  ,访问统计：,350,1,1,0
html body text div div p  ,"2005年08月30日, 星期二 13:22",352,1,1,0
html body text div div p a  ,加入博采,354,1,1,0
html body text div div a h3  ,Trackback,362,1,1,0
html body text div div p  ,你可以使用这个链接引用该篇文章 http://publishblog.blogchina.com/blog/tb.b?diaryID=2756656,365,1,1,0
html body text div div a h3  ,博客手拉手,372,1,1,0
html body text div div p  ,[2005-08-21],375,1,1,0
html body text div div p a  ,为什么总要面对呢，可有谁知道我已经身心疲惫？,377,1,1,0
html body text div div p  ,[2005-08-17],380,1,1,0
html body text div div p a  ,无序列表,382,1,1,0
html body text div div p  ,[2005-08-02],385,1,1,0
html body text div div p a  ,无序,387,1,1,0
html body text div div p  ,[2005-07-13],390,1,1,0
html body text div div p a  ,谁来为氵蒙洼蓄洪区灾民损失补偿,392,1,1,0
html body text div div p  ,[2005-08-06],395,1,1,0
html body text div div p a  ,谁来为喂羊照看孩子的民警解忧,397,1,1,0
html body text div div a h3  ,回复,404,0,1,0
html body text div div table form tr td  ,评论内容：,428,0,0,0
html body text div a  ,2003-2004 BlogChina.COM All rights reserved,454,1,0,0
html body text div a  ,Powered by BlogDriver 2.1,458,0,1,0
