tag,content,counts,link_next,link_prev,label
html body text table tr td a span  ,首页,12,1,0,0
html body text table tr td  ,-,13,1,1,0
html body text table tr td a span  ,新闻,16,1,1,0
html body text table tr td  ,-,17,1,1,0
html body text table tr td a span  ,北京,20,1,1,0
html body text table tr td  ,-,21,1,1,0
html body text table tr td a span  ,体育,24,1,1,0
html body text table tr td  ,-,25,1,1,0
html body text table tr td a span  ,娱乐,28,1,1,0
html body text table tr td  ,-,29,1,1,0
html body text table tr td a span  ,文化,32,1,1,0
html body text table tr td  ,-,33,1,1,0
html body text table tr td a span  ,房产,36,1,1,0
html body text table tr td  ,-,37,1,1,0
html body text table tr td a span  ,汽车,40,1,1,0
html body text table tr td  ,-,41,1,1,0
html body text table tr td a span  ,军事,44,1,1,0
html body text table tr td  ,-,45,1,1,0
html body text table tr td a span  ,数码,48,1,1,0
html body text table tr td  ,-,49,1,1,0
html body text table tr td a span  ,视频,52,1,1,0
html body text table tr td  ,-,53,1,1,0
html body text table tr td a span  ,游戏,56,1,1,0
html body text table tr td  ,-,57,1,1,0
html body text table tr td a span  ,女性,60,1,1,0
html body text table tr td  ,-,61,1,1,0
html body text table tr td a span  ,邮箱,64,1,1,0
html body text table tr td  ,-,65,1,1,0
html body text table tr td a span  ,短信,68,1,1,0
html body text table tr td  ,-,69,1,1,0
html body text table tr td a span  ,博客,72,1,1,0
html body text table tr td  ,-,73,1,1,0
html body text table tr td a span  ,旅游,76,1,1,0
html body text table tr td  ,-,77,1,1,0
html body text table tr td a span  ,导航,80,0,1,0
html body text table tr td table tr td a  ,汽车,120,1,0,0
html body text table tr td table tr td  ,>>,121,1,1,0
html body text table tr td table tr td a  ,车坛动态,123,1,1,0
html body text table tr td table tr td  ,>> 业界新闻,124,1,1,0
html body text table tr td table tr td a  ,新闻排行榜,128,0,1,0
html body text table tr td div a  ,推荐,142,1,0,0
html body text table tr td div a  ,我要说说,145,0,1,0
html body text table tr td div  ,广汽回应现代合资内幕 全面合作项目即将展开,156,1,0,1
html body text table tr td div a  ,http://www.qianlong.com/,166,1,1,0
html body text table tr td div  ,2005-07-18 13:03:17,167,1,1,0
html body text table tr td table tr td  ,1个月之后的6月21日，随着广汽和现代合资基础协议的签署，传闻再次袭来。6月30日，本报记者在广汽商用车项目的有关负责人方面首次了解到广汽和现代的合资内幕。,174,1,1,1
html body text table tr td table tr td p  ,8个月4轮谈判2004年9月，,176,1,1,1
html body text table tr td table tr td  ,现代主动找到广汽旗下的骏威客车厂商谈合作，广汽和现代坐到了一起。,181,1,1,1
html body text table tr td table tr td p  ,据记者采访了解，骏威客车是生产大客车的生产企业，通过与现代方面进一步商谈后才知道，现代提出的是商用车全方位合作。,183,1,1,1
html body text table tr td table tr td p  ,“接触后发现，现代是希望商用车的全面合资合作。”广汽内部消息灵通人士称，广汽通过论证后，决定与现代就商用车方面进行全面合资合作。,185,1,1,1
html body text table tr td table tr td p  ,根据事后证实，现代所谓的“全面合作”，是指各种商用车车型的合作。包括轻卡、小型客车、中卡、中巴、重卡、大卡、大巴等。这些产品系列，韩国现代都是齐全的。广汽现代商用车项目包括整车、发动机，还包括研发中心。,187,1,1,1
html body text table tr td table tr td p  ,第一次接触之后，双方很快进入合资谈判程序———从2004年12月到今年4月，一共进行了4轮谈判，前后历时8个月。接近参与谈判的一位人士表示，“每一次都谈得很愉快，每一次都有实质性的进展。”,189,1,1,1
html body text table tr td table tr td p  ,4轮谈判过程中，双方的重点主要集中在三个方面：第一是产品——哪些产品需要引进？哪些要先引进？市场定位如何？价格怎样？销售总额、产品切入点、广汽的竞争力在哪里？这些都需要广汽与现代去研究。,191,1,1,1
html body text table tr td table tr td p  ,“对于先引进哪种车，哪个车型，我们心里已经有了一些底，但是最终还是要通过市场的调研才能决定。”知情人士透露，协议签完以后，广汽大约还要花三个月的时间进行市场调研。,193,1,1,1
html body text table tr td table tr td p  ,第二是工业工程———工厂怎样布局？生产的工艺采用什么样的设备？什么样的生产方式？广汽、现代研究之后，要拿出一个生产工艺布局和采用的方案，其中牵涉到成本、投资、中国的现状。,195,1,1,1
html body text table tr td table tr td p  ,第三是财务的可行性分析。,197,1,1,1
html body text table tr td table tr td p  ,今年5月，广汽和现代最终确定基础协议框架。6月21日，郑梦九带着30人的代表团(现代汽车的管理层基本倾巢出动)飞赴广州，与广汽签署基础协议。,199,1,1,1
html body text table tr td table tr td p  ,根据现代的规划，7月份以后，现代会派一个15个人左右的项目组常驻广州，和广汽进行余下的谈判工作，商议将来的市场定位、技术转让费用、企业管理等敏感问题。,201,1,1,1
html body text table tr td table tr td p strong  ,现代或将落户羊城客车,204,1,1,1
html body text table tr td table tr td p  ,这是广汽和现代的第二次接触。在广州汽车重组的时候，现代当时也是战略投资谈判的对象之一，但是最后因为各种原因没有谈成。此次联姻商用车是第二次接触。,207,1,1,1
html body text table tr td table tr td p  ,“这说明现代是非常看重广汽这个合作伙伴的。对方有意愿和我们合作商用车的生产、研发。”广汽对与现代的合资并不感到意外，“商用车的投资是在100亿～120亿，不是小打小闹的。”,209,1,1,1
html body text table tr td table tr td p  ,对于广汽来说，现代的主动上门同样是正中下怀。,211,1,1,1
html body text table tr td table tr td p  ,目前，广汽虽然在乘用车项目上如日中天，但是在商用车上乏善可陈。做轻卡和中巴的羊城汽车，做大客的骏威客车，还有主要做大巴的五十铃，这三大块在国内的地位和规模都不大，销售主要以广东省为主。所以在轿车初步奠定基础之后，广汽有强烈的愿望，想把商用车推上去，巩固广汽在汽车业的地位。,213,1,1,1
html body text table tr td table tr td p  ,“广汽一直都有商用车崛起的战略想法，想把它(商务车)做大。做大呢，一个渠道是靠自己，另一个渠道是与别人联合。这些年，靠自己做大广汽也尝试过，但并不是很成功，广汽一直都有跟别人合作的想法，局部也有一些探讨。”广汽有关高层人士介绍说，广汽和现代的意愿、思路都很吻合。,215,1,1,1
html body text table tr td table tr td p  ,但是广州现代成立后，肯定将对现有的羊城汽车、骏威客车和五十铃造成冲击。对于如何平衡现代和现有三个项目的关系，广汽的态度是：有效利用这个资源，而非整合——有竞争，有实力，大家都上；如果某些企业没有实力，如何有效利用现有商用车的资源，将由广州现代和他们进行协商。,217,1,1,1
html body text table tr td table tr td p  ,根据有关渠道传言，双方很可能会在羊城客车的基础上建一个现代。对此，广汽方面的回应是，“利用它的资源的可能性很大，至于合作方式，双方还要再谈。”,219,1,1,1
html body text table tr td table tr td p strong  ,不会涉及东风悦达起亚,222,1,1,1
html body text table tr td table tr td p  ,如果广州现代建成后，广汽集团的产品系列上，将把商务车这一块短板给补齐，在产品上达到平衡。,225,1,1,1
html body text table tr td table tr td p  ,根据广汽确定的规划，广州现代到2011年生产目标是20万辆。目前，广汽在花都有3000亩是留给整车的，还有20万平方米是要建研发中心的，给零部件还留有很大的地方。,227,1,1,1
html body text table tr td table tr td p  ,“我们的目标是成为中国最大的商用车生产厂家之一。至于采取哪种方式，我们会根据实际情况来定。”广汽有关高层人士解释说。,229,1,1,1
html body text table tr td table tr td p  ,广州现代未来走中高端市场路线，是根据国内市场现有的形势决定的。因为，中国的商用车不像轿车那样薄弱，中国原来的一汽、东风都是做商用车起家的，到现在为止都占据着国内商用车的绝大部分市场，且特点是价格便宜，便宜到国外的公司都觉得不可思议。,231,1,1,1
html body text table tr td table tr td p  ,国外商用车贵，轿车便宜，因为轿车可以批量生产，成本很低。中国商用车批量大，价格便宜，一汽、东风商用车机型配套好。在这种情况下，广汽现代的商用车靠什么来取胜？进入国内市场的商用车巨头采取两条路：一是取高端，高质高价；二是高质低价，性能好、稳定，但是价格低。走高端产品，但是成功的少。,233,1,1,1
html body text table tr td table tr td p  ,鉴于广汽在国内乘用车领域的实力和现代的野心，很多人担心广汽引进现代商用车后，会进一步染指现代在中国的乘用车项目———东风悦达起亚。更有业内人士肯定地认为，广汽现代未来在规模和集中度上，是乘用车占60%，商用车占40%。,235,1,1,1
html body text table tr td table tr td p  ,对此广汽相关人士的解释是，“我们的出发点是商用车这一点是毫无疑问的。至于二三十年以后的发展怎样？是否会考虑别的车样，不是没有可能，不过这不是我们的初衷。我们现在没有考虑生产乘用车。”,237,1,1,1
html body text table tr td table tr td p  ,对于记者“广汽是否不会去涉及现代在华的另一合作伙伴———东风悦达起亚”的提问，广汽有关高层人士回答肯定，“是的！广汽与东风悦达起亚、江淮无战事。”,239,1,1,1
html body text table tr td table tr td p  ,在外界看来，江淮是广汽、现代合资的另一个直接受害者。对于之前江淮不满现代的表态，该人士回答巧妙，“至于现代如何处理广汽与江淮的关系，那是现代要考虑的事情，现代既然跟广汽签了全面合资协议，就不会再与江淮谈，车型自然不同。”,241,1,1,1
html body text table tr td table tr td  ,编辑： 金金,251,1,1,0
html body text table tr td table tr td  ,来源： 21世纪经济报道,254,1,1,0
html body text table tr td table tr td  ,作者：宋怡 杨志华,257,1,1,0
html body text table tr td div a  ,我要说说,264,1,1,0
html body text table tr td div a  ,打印,267,1,1,0
html body text table tr td div a  ,推荐,270,0,1,0
html body text table tr td table tr td table tr td table tr td  ,相关报道,295,1,0,0
html body text table tr td table tr td table tr td table tr td font  ,v,299,1,1,0
html body text table tr td table tr td table tr td table tr td a  ,为同门兄弟途胜让路 现代集团叫停狮跑上市活动,302,1,1,0
html body text table tr td table tr td table tr td table tr td font  ,2005-07-13 09:00:04,305,1,1,0
html body text table tr td table tr td table tr td table tr td font  ,v,308,1,1,0
html body text table tr td table tr td table tr td table tr td a  ,国产途胜全面进场 北京现代4S店经销商喜上眉梢,311,1,1,0
html body text table tr td table tr td table tr td table tr td font  ,2005-07-11 15:02:26,314,1,1,0
html body text table tr td table tr td table tr td table tr td font  ,v,317,1,1,0
html body text table tr td table tr td table tr td table tr td a  ,伊兰特“同门兄弟”下月上市 赛拉图跟谁赛?,320,1,1,0
html body text table tr td table tr td table tr td table tr td font  ,2005-07-11 10:06:16,323,1,1,0
html body text table tr td table tr td table tr td table tr td font  ,v,326,1,1,0
html body text table tr td table tr td table tr td table tr td a  ,SUV市场持续低迷 国产途胜上市月余暗降即现,329,1,1,0
html body text table tr td table tr td table tr td table tr td font  ,2005-07-11 09:43:53,332,1,1,0
html body text table tr td table tr td table tr td table tr td font  ,v,335,1,1,0
html body text table tr td table tr td table tr td table tr td a  ,现代汽车公司新兴市场高歌猛进 欲争世界第五,338,1,1,0
html body text table tr td table tr td table tr td table tr td font  ,2005-07-04 09:18:35,341,1,1,0
html body text table tr td table tr td table tr td table tr td font  ,v,344,1,1,0
html body text table tr td table tr td table tr td table tr td a  ,北京现代复产 现车仍吃紧 新款伊兰特优惠4000元,347,1,1,0
html body text table tr td table tr td table tr td table tr td font  ,2005-07-01 09:41:33,350,1,1,0
html body text table tr td table tr td table tr td table tr td font  ,v,353,1,1,0
html body text table tr td table tr td table tr td table tr td a  ,劝退东风转嫁压力 现代汽车中国战略值得探究,356,1,1,0
html body text table tr td table tr td table tr td table tr td font  ,2005-06-30 14:58:29,359,1,1,0
html body text table tr td table tr td table tr td table tr td font  ,v,362,1,1,0
html body text table tr td table tr td table tr td table tr td a  ,国产途胜已揭开神秘面纱 试驾用户畅谈体验,365,1,1,0
html body text table tr td table tr td table tr td table tr td font  ,2005-06-29 14:49:33,368,1,1,0
html body text table tr td table tr td table tr td table tr td font  ,v,371,1,1,0
html body text table tr td table tr td table tr td table tr td a  ,现代广汽合资尘埃落定 百亿资金打造商用车航母,374,1,1,0
html body text table tr td table tr td table tr td table tr td font  ,2005-06-29 14:41:32,377,1,1,0
html body text table tr td table tr td table tr td table tr td font  ,v,380,1,1,0
html body text table tr td table tr td table tr td table tr td a  ,现代EQUUS扮演价格杀手 豪华车市场狼来了?,383,1,1,0
html body text table tr td table tr td table tr td table tr td font  ,2005-06-29 14:25:51,386,1,1,0
html body text table tr td table tr td table tr td table tr td font  ,v,389,1,1,0
html body text table tr td table tr td table tr td table tr td a  ,郑梦九军马南调 现代将与广汽合资生产商务车,392,1,1,0
html body text table tr td table tr td table tr td table tr td font  ,2005-06-28 15:28:56,395,1,1,0
html body text table tr td table tr td table tr td table tr td font  ,v,398,1,1,0
html body text table tr td table tr td table tr td table tr td a  ,现代在华四处“撒网” 要当中国第一还缺什么?,401,1,1,0
html body text table tr td table tr td table tr td table tr td font  ,2005-06-28 15:08:31,404,1,1,0
html body text table tr td table tr td table tr td table tr td font  ,v,407,1,1,0
html body text table tr td table tr td table tr td table tr td a  ,韩国现代毁约抛弃江淮 广汽抢走商用车合资名额,410,1,1,0
html body text table tr td table tr td table tr td table tr td font  ,2005-06-28 14:58:50,413,1,1,0
html body text table tr td table tr td table tr td table tr td font  ,v,416,1,1,0
html body text table tr td table tr td table tr td table tr td a  ,广汽牵手现代 广州成为日韩车系的大本营?,419,1,1,0
html body text table tr td table tr td table tr td table tr td font  ,2005-06-28 13:26:46,422,1,1,0
html body text table tr td table tr td table tr td table tr td font  ,v,425,1,1,0
html body text table tr td table tr td table tr td table tr td a  ,对比进口产品价格偏高 途胜入市趁热还需多打铁,428,1,1,0
html body text table tr td table tr td table tr td table tr td font  ,2005-06-28 09:40:42,431,0,1,0
html body text table tr td table tr td form table tr td  ,我来说说 笔名：,453,1,0,0
html body text table tr td table tr td form table tr td  ,发表标题：,455,0,1,0
html body text table tr td form table tr td  ,	搜索,494,0,0,0
html body text table tr td form table tr td select option  ,网页,512,1,0,0
html body text table tr td form table tr td select option  ,网站,515,1,1,0
html body text table tr td form table tr td select option  ,新闻,518,1,1,0
html body text table tr td form table tr td select option  ,购物,521,1,1,0
html body text table tr td form table tr td select option  ,图片,524,1,1,0
html body text table tr td form table tr td select option  ,Flash,527,1,1,0
html body text table tr td form table tr td select option  ,MP3,530,0,1,0
html body text table tr td  ,© 版权所有2000-2006，北京千龙新闻网络传播有限责任公司,560,1,0,0
html body text table tr td  ,未经千龙新闻网书面特别授权，请勿转载或建立镜像，违者依法必究,562,0,1,0
html body text div span div  ,：：：精彩专题：：：,606,0,0,0
html body text div span div table tr td table tr td li a  ,汽车过节也要“三八”,624,1,0,0
html body text div span div table tr td table tr td li a  ,上周回顾:关注车价油价,630,1,1,0
html body text div span div table tr td table tr td li a  ,痛并快乐,636,1,1,0
html body text div span div table tr td table tr td li a  ,东风标致206专题,641,1,1,0
html body text div span div table tr td table tr td li a  ,回家的人 痛并快乐着,646,1,1,0
html body text div span div table tr td table tr td a  ,更多>>,650,1,1,0
html body text div span div  ,：：：销量排行：：：,654,0,1,0
html body text div span div table tr td a font  ,更多>>,667,0,0,0
