tag,content,counts,link_next,link_prev,label
html body text title  ,CCTV.com- 央视论坛 :: null,6,0,0,0
html body text table tr td table tr td font  ,游客 欢迎你！,71,0,0,0
html body text table tr td table tr td a  ,首页,84,1,0,0
html body text table tr td table tr td  ,	 >,85,1,1,0
html body text table tr td table tr td a  ,央视社区,87,1,1,0
html body text table tr td table tr td  ,>,88,1,1,0
html body text table tr td table tr td font  ,央视论坛,90,1,1,0
html body text table tr td table tr td  ,>,91,1,1,0
html body text table tr td table tr td span a  ,网闻贴吧,94,1,1,0
html body text table tr td table tr td a font  ,在线用户,99,1,1,0
html body text table tr td table tr td  ,:,100,1,1,0
html body text table tr td table tr td b font  ,12066,103,1,1,0
html body text table tr td table tr td  ,当值版主:,104,0,1,0
html body text table tr td table tr td b  ,主题：,134,1,0,0
html body text table tr td table tr td  ,你知道导游为什么那么热衷于让你去各种各样的商场购物吗？,135,1,1,1
html body text table tr td table tr td b  ,作者：,145,1,1,0
html body text table tr td table tr td a  ,芊草凡凡,147,1,1,0
html body text table tr td table tr td b  ,时间：,150,1,1,0
html body text table tr td table tr td  ,2005-08-22 19:13:18,151,0,1,0
html body text table tr td table tr td table tr td p  ,导游的收入很大一部分来自购物的回扣，这是业内的“行规”，境内游境外游都是这样的，属于国际惯例。以国内游为例，回扣一般在购物额的10％左右，个别的会50%，像字画等等。旅行车停在购物店门口会有停车费，进店购物一般要停留45分钟左右，这样就会有人头费，店里会根据客人的人数按每人10元到25元付钱。所以，以我的经验，一定要看清楚合同，不要听导游瞎掰。,176,0,0,1
html body text table tr td table tr td table tr td  ,您是本文第 154 个阅览者,200,0,0,0
html body text table tr td table tr td b  ,| 回复线索：,218,0,0,0
html body text table tr td table tr td ul li a font b  ,旅行中，谁忽悠了你？,240,1,0,0
html body text table tr td table tr td ul li  ,【,241,1,1,0
html body text table tr td table tr td ul li a  ,新闻频道版主,243,1,1,0
html body text table tr td table tr td ul li  ,】,244,1,1,0
html body text table tr td table tr td ul li font  ,08-11 16:06,246,1,1,0
html body text table tr td table tr td ul li  ,298字&nbsp[4321/87],247,1,1,0
html body text table tr td table tr td ul li ul li a font  ,参与旅行社的一般都是弱势群体……,257,1,1,0
html body text table tr td table tr td ul li ul li  ,【,258,1,1,0
html body text table tr td table tr td ul li ul li a  ,梅骏！,260,1,1,0
html body text table tr td table tr td ul li ul li  ,】,261,1,1,0
html body text table tr td table tr td ul li ul li font  ,08-11 16:58,263,1,1,0
html body text table tr td table tr td ul li ul li  ,138字&nbsp[140/0],264,1,1,0
html body text table tr td table tr td ul li ul li a font  ,斑竹啊，你们是要故事，还是要俺们发牢骚哦？,270,1,1,0
html body text table tr td table tr td ul li ul li  ,【,271,1,1,0
html body text table tr td table tr td ul li ul li a  ,黑眼圈猫猫,273,1,1,0
html body text table tr td table tr td ul li ul li  ,】,274,1,1,0
html body text table tr td table tr td ul li ul li font  ,08-11 17:03,276,1,1,0
html body text table tr td table tr td ul li ul li  ,0字&nbsp[127/1],277,1,1,0
html body text table tr td table tr td ul li ul li ul li a font font b  ,我们征集故事~~你们的经历，要真实的哦：P 有图片、DV就更生动啦~,287,1,1,0
html body text table tr td table tr td ul li ul li ul li  ,【,288,1,1,0
html body text table tr td table tr td ul li ul li ul li a  ,新闻频道版主,290,1,1,0
html body text table tr td table tr td ul li ul li ul li  ,】,291,1,1,0
html body text table tr td table tr td ul li ul li ul li font  ,08-11 17:04,293,1,1,0
html body text table tr td table tr td ul li ul li ul li  ,30字&nbsp[151/1],294,1,1,0
html body text table tr td table tr td ul li ul li ul li ul li a font  ,哦，那好，我想想看，这几年出门逛荡时被别人骗过没？,302,1,1,0
html body text table tr td table tr td ul li ul li ul li ul li  ,【,303,1,1,0
html body text table tr td table tr td ul li ul li ul li ul li a  ,黑眼圈猫猫,305,1,1,0
html body text table tr td table tr td ul li ul li ul li ul li  ,】,306,1,1,0
html body text table tr td table tr td ul li ul li ul li ul li font  ,08-11 17:09,308,1,1,0
html body text table tr td table tr td ul li ul li ul li ul li  ,0字&nbsp[148/0],309,1,1,0
html body text table tr td table tr td ul li ul li a font  ,一把辛酸泪啊。,317,1,1,0
html body text table tr td table tr td ul li ul li  ,【,318,1,1,0
html body text table tr td table tr td ul li ul li a  ,皮皮说话,320,1,1,0
html body text table tr td table tr td ul li ul li  ,】,321,1,1,0
html body text table tr td table tr td ul li ul li font  ,08-11 17:15,323,1,1,0
html body text table tr td table tr td ul li ul li  ,80字&nbsp[176/0],324,1,1,0
html body text table tr td table tr td ul li ul li a font  ,还是素质问题,330,1,1,0
html body text table tr td table tr td ul li ul li  ,【,331,1,1,0
html body text table tr td table tr td ul li ul li a  ,柠檬沁心,333,1,1,0
html body text table tr td table tr td ul li ul li  ,】,334,1,1,0
html body text table tr td table tr td ul li ul li font  ,08-11 17:20,336,1,1,0
html body text table tr td table tr td ul li ul li  ,124字&nbsp[137/0],337,1,1,0
html body text table tr td table tr td ul li ul li a font  ,偶哭诉一个,343,1,1,0
html body text table tr td table tr td ul li ul li  ,【,344,1,1,0
html body text table tr td table tr td ul li ul li a  ,黑眼圈猫猫,346,1,1,0
html body text table tr td table tr td ul li ul li  ,】,347,1,1,0
html body text table tr td table tr td ul li ul li font  ,08-11 17:45,349,1,1,0
html body text table tr td table tr td ul li ul li  ,315字&nbsp[155/0],350,1,1,0
html body text table tr td table tr td ul li ul li a font  ,我的经历：,356,1,1,0
html body text table tr td table tr td ul li ul li  ,【,357,1,1,0
html body text table tr td table tr td ul li ul li a  ,hylxy,359,1,1,0
html body text table tr td table tr td ul li ul li  ,】,360,1,1,0
html body text table tr td table tr td ul li ul li font  ,08-11 18:24,362,1,1,0
html body text table tr td table tr td ul li ul li  ,273字&nbsp[180/1],363,1,1,0
html body text table tr td table tr td ul li ul li ul li a font  ,您被“拐”去哪儿啦？另外，您在景点遇到的抽奖都是什么样儿的？能再描述的具体一些吗？谢谢啦：）,371,1,1,0
html body text table tr td table tr td ul li ul li ul li  ,【,372,1,1,0
html body text table tr td table tr td ul li ul li ul li a  ,新闻频道版主,374,1,1,0
html body text table tr td table tr td ul li ul li ul li  ,】,375,1,1,0
html body text table tr td table tr td ul li ul li ul li font  ,08-12 10:00,377,1,1,0
html body text table tr td table tr td ul li ul li ul li  ,0字&nbsp[175/1],378,1,1,0
html body text table tr td table tr td ul li ul li ul li ul li a font  ,"是一个不知名的小海洋馆(不是北京动物园的),抽奖我遇到很多种,有的是直接导游带着去,或者是导游在旁边不停的推荐,再有就是景点纪念品店先明确说凭借门票可以免费兑换一些小纪念品,到最后还是说要收什么什么费",386,1,1,0
html body text table tr td table tr td ul li ul li ul li ul li  ,【,387,1,1,0
html body text table tr td table tr td ul li ul li ul li ul li a  ,hylxy,389,1,1,0
html body text table tr td table tr td ul li ul li ul li ul li  ,】,390,1,1,0
html body text table tr td table tr td ul li ul li ul li ul li font  ,08-13 10:49,392,1,1,0
html body text table tr td table tr td ul li ul li ul li ul li  ,101字&nbsp[145/1],393,1,1,0
html body text table tr td table tr td ul li ul li ul li ul li ul li a font  ,"听到辛梓斑竹念我的帖子了!:)我的电脑只能看录播,不能看直播.郁闷~~",401,1,1,0
html body text table tr td table tr td ul li ul li ul li ul li ul li  ,【,402,1,1,0
html body text table tr td table tr td ul li ul li ul li ul li ul li a  ,hylxy,404,1,1,0
html body text table tr td table tr td ul li ul li ul li ul li ul li  ,】,405,1,1,0
html body text table tr td table tr td ul li ul li ul li ul li ul li font  ,08-26 17:53,407,1,1,0
html body text table tr td table tr td ul li ul li ul li ul li ul li  ,0字&nbsp[129/0],408,1,1,0
html body text table tr td table tr td ul li ul li a font  ,北京之旅的困惑,417,1,1,0
html body text table tr td table tr td ul li ul li  ,【,418,1,1,0
html body text table tr td table tr td ul li ul li a  ,新闻频道版主,420,1,1,0
html body text table tr td table tr td ul li ul li  ,】,421,1,1,0
html body text table tr td table tr td ul li ul li font  ,08-12 11:57,423,1,1,0
