tag,content,counts,link_next,link_prev,label
html body text form div h1 a  ,李建忠,13,1,0,0
html body text form div p b  ,"C#/.NET, C++/CLI 培训/咨询",18,1,1,0
html body text form div h3  ,导航,24,1,1,0
html body text form div ul li a  ,首页,30,1,1,0
html body text form div ul li a  ,联系,34,1,1,0
html body text form div ul li a  ,RSS,38,1,1,0
html body text form div ul li a  ,登录,44,1,1,0
html body text form div h3  ,统计,48,1,1,0
html body text form div ul li  ,随笔 - 13 		,53,1,1,0
html body text form div ul li  ,文章 - 0 		,55,1,1,0
html body text form div ul li  ,评论 - 260 		,57,1,1,0
html body text form div ul li  ,Trackbacks - 25 	,59,1,1,0
html body text form div h3  ,公告,63,0,1,0
html body text form div b a  ,相约2005 C++技术大会,76,1,0,0
html body text form div b a  ,共享C++20年精彩风华！,78,1,1,0
html body text form div h3  ,存档,83,1,1,0
html body text form div ul li a  ,2005年9月 (1),89,1,1,0
html body text form div ul li a  ,2005年7月 (1),94,1,1,0
html body text form div ul li a  ,2005年5月 (2),99,1,1,0
html body text form div ul li a  ,2005年4月 (1),104,1,1,0
html body text form div ul li a  ,2005年3月 (1),109,1,1,0
html body text form div ul li a  ,2005年2月 (1),114,1,1,0
html body text form div ul li a  ,2005年1月 (5),119,1,1,0
html body text form div ul li a  ,2004年12月 (1),124,1,1,0
html body text form div h3  ,随笔分类,129,1,1,0
html body text form div ul li a  ,C#/.NET,135,1,1,0
html body text form div ul li a  ,(rss),138,1,1,0
html body text form div ul li a  ,C++/CLI,142,1,1,0
html body text form div ul li a  ,(rss),145,1,1,0
html body text form div ul li a  ,程序人生,149,1,1,0
html body text form div ul li a  ,(rss),152,0,1,0
html body text form div div h2 a  ,很高兴入住博客堂,163,1,0,1
html body text form div div p  ,承蒙开心就好的邀请，很高兴入住博客堂。作为微软技术的知名社区，博客堂是一个做技术blog的好地方。我在博客堂的blog将集中在C++/CLI和C#两个方面。我在,167,1,1,1
html body text form div div p a  ,http://blog.dreambrook.com/jzli/,169,1,1,1
html body text form div div p  ,上维护有一个更全面更私人化的个人blog。博客堂的blog则集中在.NET相关的技术方面。,170,1,1,1
html body text form div div p  ,简单介绍一下我的情况：在.NET刚刚推出之时，我曾为MSDN（中国）写过一个《C#锐利体验》专栏。从此糊里糊涂进入技术写译界（业余），也和.NET结下了不解之缘。前后翻译了《Microsoft .NET框架程序设计(修订版)》和《Microsoft .NET框架程序设计——Visual Basic .NET 语言描述》。,173,1,1,1
html body text form div div p  ,目前我在上海祝成信息科技有限公司担任软件架构师，并讲授C#/.NET软件开发课程。业余时间写作《C#面向组件程序设计》（清华大学出版社，2005年出版）。同时和Stan Lippman先生合作撰写《C++/CLI全景体验》专栏。关于我的更多信息，可访问我的个人网站：,176,1,1,1
html body text form div div p a  ,http://www.lijianzhong.com/,178,1,1,1
html body text form div div p  ,。,179,1,1,1
html body text form div div p  ,希望以后和各位多多交流。,182,1,1,1
html body text form div div p  ,			发表于 2004年12月27日 12:40 - (阅读:3727;评论:63) 		,186,0,1,0
html body text form div div h3  ,评论,198,1,0,0
html body text form div div h4 a  ,#,203,1,1,0
html body text form div div h4  ,re: 很高兴入住博客堂 					,206,1,1,0
html body text form div div h4 span  ,						2004-12-27 12:46 					,208,1,1,0
html body text form div div h4 a  ,flyingbirds,211,1,1,0
html body text form div div p  ,				呵呵，又来了一位大哥啊～～～～～～～～ 				,215,1,1,1
html body text form div div h4 a  ,#,222,1,1,0
html body text form div div h4  ,re: 很高兴入住博客堂 					,225,1,1,0
html body text form div div h4 span  ,						2004-12-27 12:53 					,227,1,1,0
html body text form div div h4 a  ,寒星,230,1,1,0
html body text form div div p  ,				拜读了你翻译的《Microsoft .NET框架程序设计(修订版)》。很不错。:) 				,234,1,1,1
html body text form div div h4 a  ,#,241,1,1,0
html body text form div div h4  ,re: 很高兴入住博客堂 					,244,1,1,0
