tag,content,counts,link_next,link_prev,label
html body text title  ,拿出10万元投资房产 小两口尝试以钱生钱(图)_新浪房产_新浪网,10,0,0,0
html body text center table tr td font a  ,新浪首页,98,1,0,0
html body text center table tr td font  ,>,99,1,1,0
html body text center table tr td font a  ,房产,101,1,1,0
html body text center table tr td font  ,>,102,1,1,0
html body text center table tr td font a  ,地产新闻,104,1,1,0
html body text center table tr td font  ,> 正文,105,0,1,0
html body text center div table tr td div table tr th font  ,拿出10万元投资房产 小两口尝试以钱生钱(图),138,1,0,1
html body text center div table tr td div table tr td  ,http://house.sina.com.cn 2005年03月31日03:18,146,1,1,0
html body text center div table tr td div table tr td font  ,北京娱乐信报,148,0,1,0
html body text center div table tr td div table tr td center font  ,拿出10万元来做房产投资，一来以钱生钱，二来为今后养老留条后路 蔡雪婧/摄,163,1,0,0
html body text center div table tr td div table tr td p strong  ,人物画像,168,1,1,1
html body text center div table tr td div table tr td p  ,汤先生夫妇二人，虽说刚三十出头，但经过这几年的精打细算，银行账户上已经有20多万的存款。前年全款买了辆富康，房子是汤先生父母名下的已购公房，面积不大，格局老点，但短时间内够用，也不打算搬家。汤先生夫妇所在单位都属于聘用制，一年一签，因此两人一直没敢大手大脚地“挥霍”。这不，股票、债券一点都没买，连国库券都没有。看着,171,0,1,1
html body text center div table tr td div table tr td p  ,去年房价猛涨，小两口也心痒痒了。合计合计，决定拿出10万元来做房产投资，一来以钱生钱，二来为今后养老留条后路。,248,1,0,1
html body text center div table tr td div table tr td p strong  ,方案1,253,1,1,1
html body text center div table tr td div table tr td p strong  ,产权投资安全最重要,257,1,1,1
html body text center div table tr td div table tr td p  ,在上周的军博展会上，汤先生夫妇发现了两个产权投资项目。在“第一城”的产权投资方案中，最低投资金额为10万元，以5万元为级数递增，投资者在认购“第一城”的古城酒店之后可以凭消费卡用于旅游性居住，也可以委托经营公司统一出租经营，收取稳定的租金回报，年回报收益率为8.3%，而且3年之后任何一年，对于那些希望随时收回本金的投资者，经营公司会根据投资者意愿全额回购所投资的置业，让投资者全身而退。并由中信国安集团以全部有形和无形资产承担连带责任担保。,260,1,1,1
html body text center div table tr td div table tr td p  ,另外一个项目“快乐假日大酒店”，是北京首家产权式酒店，地处延庆县龙庆峡风景区。业主只要首付13万元(余款做银行按揭)，即可拥有一套属于自己的、价值25万元的精装修酒店标准间(北京市正式产权)，以及未来每年15888元的租赁收益，并同时享有该酒店和亚洲酒店资源交换联盟(ARSA)所属同等级酒店每年30天的免费入住权。,263,1,1,1
html body text center div table tr td div table tr td p strong  ,贴心提醒,268,1,1,1
html body text center div table tr td div table tr td p  ,任何投资本身都会有风险，对于投资者来说，在所能承受的风险下取得一定的收益才有意义。对于大多数理性的投资者，安全无疑是考虑的首要条件。资深地产法律专家——北京乾坤律师事务所合伙人刘欣先生在接受采访时告诫急于求成的投资者，在涉足投资项目之前，要充分考虑开发商和担保方的资质和实力。在进行产权投资理财前，投资者可以重点考察以下几个方面：一、投资收益率是否经得起推敲。二、投资者的收益是否在合同中有明确而具体的体现，从而得到有效的法律保障。三、收回投资的渠道是否稳妥、畅通。四、如有担保，是否在合同中有明确的约定，担保的方式是否合法、有效。,271,1,1,1
html body text center div table tr td div table tr td p strong  ,方案2,276,1,1,1
html body text center div table tr td div table tr td p strong  ,投资住宅宜早也宜晚,280,1,1,1
html body text center div table tr td div table tr td p  ,位于北三环安贞桥东北角的“,283,1,1,1
html body text center div table tr td div table tr td p a  ,城市出品,286,1,1,1
html body text center div table tr td div table tr td p  ,”3月初开盘，东侧紧邻,287,1,1,1
html body text center div table tr td div table tr td p a  ,地铁,290,1,1,1
html body text center div table tr td div table tr td p  ,五号线，附近分布安贞华联、京客隆超市、北辰购物中心、上岛咖啡、抱石者俱乐部、必胜客、好伦哥、星巴克、麦当劳等众多休闲购物场所，小区会所有阳光泳池、健身房、西餐厅、超市等，北面有元大都酒吧一条街，出租起来应该不费劲儿。目前均价8500元／平方米，买一套50平方米的,291,1,1,1
html body text center div table tr td div table tr td p a  ,小户型,294,1,1,1
html body text center div table tr td div table tr td p  ,，首付款加上装修和买家具、电器的钱，差不多12万元能搞定。,295,1,1,1
html body text center div table tr td div table tr td p  ,1月24日，结构早已竣工的,298,1,1,1
html body text center div table tr td div table tr td p a  ,朝阳嘉园,301,1,1,1
html body text center div table tr td div table tr td p  ,举行了开盘仪式。该项目起价4880元／平方米(初装修)，开发商还为业主准备了可选可退的精装修服务。一期由两栋塔楼组成，建成后两楼之间还有一个3层的联楼，作为配套服务用楼，一期总面积53000平方米，预计9月入住。这里提供的户型均在100平方米以上，很适宜居住投资或商务办公，每栋楼特别配备了三部高速电梯，大堂是豪华精装修，作为SOHO一族会更喜欢这里的环境。,302,1,1,1
html body text center div table tr td div table tr td p  ,除了新房，汤太太还把目光投向尾房。位于东便门桥南的金,305,1,1,1
html body text center div table tr td div table tr td p a  ,世纪嘉园,308,1,1,1
html body text center div table tr td div table tr td p  ,现在推出10套特价现房，其中最小的一套一居面积为65平方米，总价约50万元。销售员透露，新楼座将于今年下半年推出，除了增加精装修，整体品质也会有所提升。现在小区西侧的二环路上还将建一座跨河高架桥连通已经开工自东便门至四环路的通惠北路，加上将要拓宽的广外大街、规划中的广渠门地铁站，小区的交通更加便捷。,309,1,1,1
html body text center div table tr td div table tr td p strong  ,贴心提醒,314,1,1,1
