tag,content,counts,link_next,link_prev,label
html body text div a  ,新闻,9,1,0,0
html body text div  ,|,10,1,1,0
html body text div a  ,体育,12,1,1,0
html body text div  ,|,13,1,1,0
html body text div a  ,娱乐,15,1,1,0
html body text div  ,|,16,1,1,0
html body text div a  ,商业,18,1,1,0
html body text div  ,|,19,1,1,0
html body text div a  ,科技,21,1,1,0
html body text div  ,|,22,1,1,0
html body text div a  ,财经,24,1,1,0
html body text div  ,|,25,1,1,0
html body text div a  ,汽车,27,1,1,0
html body text div  ,|,28,1,1,0
html body text div a  ,手机,30,1,1,0
html body text div  ,|,31,1,1,0
html body text div a  ,数码,33,1,1,0
html body text div  ,|,34,1,1,0
html body text div a  ,房产,36,1,1,0
html body text div  ,|,37,1,1,0
html body text div a  ,旅游,39,1,1,0
html body text div  ,|,40,1,1,0
html body text div a  ,女人,42,1,1,0
html body text div  ,|,43,1,1,0
html body text div a  ,生活,45,1,1,0
html body text div  ,|,46,1,1,0
html body text div a  ,健康,48,1,1,0
html body text div  ,|,49,1,1,0
html body text div a  ,文化,51,1,1,0
html body text div  ,|,52,1,1,0
html body text div a  ,游戏,54,1,1,0
html body text div  ,|,55,1,1,0
html body text div a  ,教育,57,1,1,0
html body text div  ,|,58,1,1,0
html body text div a  ,上海,60,1,1,0
html body text div  ,|,61,1,1,0
html body text div a  ,广东,63,1,1,0
html body text div  ,|,64,1,1,0
html body text div a  ,部落,66,1,1,0
html body text div span  ,顶部通栏广告,72,0,1,0
html body text div div a  ,网易,84,1,0,0
html body text div div  ,-->,85,1,1,0
html body text div div a  ,商业频道,87,1,1,0
html body text div div  ,--> -->,88,1,1,0
html body text div div a  ,CCER经济学人分析中国经济热度,90,1,1,0
html body text div div a  ,免费订阅《高端阅读》,94,0,1,0
html body text div div h1  ,CCER经济学人分析中国经济热度,115,1,0,1
html body text div div div  ,		http://biz.163.com 2005-04-25 08:24:06 来源: 第一财经日报,119,1,1,0
html body text div div div a  ,网友评论,121,1,1,0
html body text div div div a span  ,0,123,1,1,0
html body text div div div a  ,条,124,0,1,0
html body text div div div table tr td  ,中国社会科学院,135,1,0,1
html body text div div div table tr td a  ,金融,137,1,1,1
html body text div div div table tr td  ,研究所所长李扬说，宏观政策应该相对稳定，但是改革一定要加快,138,1,1,1
html body text div div div table tr td b  ,本报记者罗科苏盈发自北京,146,1,1,1
html body text div div div table tr td  ,23日下午，在,155,1,1,1
html body text div div div table tr td a  ,北大,157,1,1,1
html body text div div div table tr td  ,万众楼二层，北大中国经济研究中心（CCER）向社会作了“CCER中国经济观察”第一次报告会。据悉，CCER将持续十年进行这样的季度观察并作报告。,158,1,1,1
html body text div div div table tr td  ,“2005年一季度工业生产增速创1995年以来最高纪录，工业生产‘偏热’情况属较严重。”经济偏热或偏冷的程度为实际生产水平与其趋势的偏差，CCER的宋国青教授通过分析国家,162,1,1,1
html body text div div div table tr td a  ,统计,165,1,1,1
html body text div div div table tr td  ,局的数据表示，“目前正常生产水平的年增长率不高于15％，这样无论是2005年一季度16.2％的同比增长率还是3月份15.1％的同比增长率，都意味着工业生产偏热的程度上升了。如果将1990年以来的最大热度看成100度，将正常看成0度，那么按上述估计，2005年一季度工业生产的温度大约为50~60度，,166,1,1,1
html body text div div div table tr td a  ,GDP,168,1,1,1
html body text div div div table tr td  ,的温度在40度左右。”,169,1,1,1
html body text div div div table tr td  ,对于目前经济的热度，,173,1,1,1
html body text div div div table tr td a  ,中国国际金融,175,1,1,1
html body text div div div table tr td  ,有限公司首席,176,1,1,1
html body text div div div table tr td a  ,经济学家,178,1,1,1
html body text div div div table tr td  ,哈继铭认为，“不光是过热，而且还是全面过热。相比之下，去年一季度属于结构性过热。”哈继铭做了比宋国青更高的估计，其依据是，去年一季度经济增长速度超过9.5％，但主要原因是投资增长超过40％，而贸易逆差，消费贡献也不大。到了2005年的一季度，投资增长率变成了22.8％，社会商品消费增长也达到14％多，而进出口货物贸易顺差达到168.3亿,179,1,1,1
html body text div div div table tr td a  ,美元,181,1,1,1
html body text div div div table tr td  ,。“这已经不再是结构性的过热，实际上是总体过热。”,182,1,1,1
html body text div div div table tr td  ,哈继铭表示，如果说结构性过热需要用行政手段或者部门手段来调整的话，那么，全面过热就需要用总量的、宏观的手段进行调控。,186,1,1,1
html body text div div div table tr td  ,在宋国青看来，解决现局之策是，“要么动,190,1,1,1
html body text div div div table tr td a  ,汇率,192,1,1,1
html body text div div div table tr td  ,不动,193,1,1,1
html body text div div div table tr td a  ,利率,195,1,1,1
html body text div div div table tr td  ,，要么反过来，如果两个都不动，最后就只能采用行政手段了。相比之下，动利率较易控制。在目前真实利率偏低的情况下，如果不加以抑制，货币供给增长率有内在冲高趋势。”宋国青说。,196,1,1,1
html body text div div div table tr td  ,相对于宋国青和哈继铭，对于中国经济形势，周其仁教授则看得更微观。,200,1,1,1
html body text div div div table tr td  ,周其仁从深圳带回来的资料显示，从1991年到2003年，深圳的工资增长6.1倍，而深圳的原材料燃料购进指数从2004年的109％上升到2005年的114％。,204,1,1,1
html body text div div div table tr td  ,“加上现有土地政策与政府税收以及其他成本向企业运营的转移，成本上升已把公司利润吃掉。”周其仁说。,208,1,1,1
html body text div div div table tr td  ,周其仁观察到成为中国工业竞争力的成本优势正在发生变化。以往中国产业生物链是，市场化的,212,1,1,1
html body text div div div table tr td a  ,行业,214,1,1,1
html body text div div div table tr td  ,打拼国际市场，而没改革的行业却在吃掉市场化的行业。“但现在几十年所没有过的成本变化，正倒逼着中国不能不反应。你若不做，越南、印度这些国家也可以做像中国一样的低成本产品。”周其仁说，“开放的经济、国际竞争这个客观形势我们不能左右。成本比较优势一变动，今后可能国家和国家之间，企业之间要重新布局。”,215,1,1,1
html body text div div div table tr td  ,“改革的环境压力已经很明确。”周其仁把话讲得既了然又含蓄。,219,1,1,1
